regionCd,regionNm,YEARMONTH,volume
28000,인천,201005,2369
28000,인천,201006,2331
28000,인천,201007,2545
28000,인천,201008,2592
28000,인천,201009,2948
28000,인천,201010,3768
28000,인천,201011,3630
28000,인천,201012,4962
28000,인천,201101,4605
28000,인천,201102,5068
28000,인천,201103,6517
28000,인천,201104,4552
28000,인천,201105,4498
28000,인천,201106,4424
28000,인천,201107,5206
28000,인천,201108,3970
28000,인천,201109,3605
28000,인천,201110,3777
28000,인천,201111,3751
28000,인천,201112,4538
28000,인천,201201,2398
28000,인천,201202,2382
28000,인천,201203,3003
28000,인천,201204,3344
28000,인천,201205,3995
28000,인천,201206,3381
28000,인천,201207,3398
28000,인천,201208,4025
28000,인천,201209,3548
28000,인천,201210,5569
28000,인천,201211,4996
28000,인천,201212,5728
28000,인천,201301,2409
28000,인천,201302,2364
28000,인천,201303,3753
28000,인천,201304,4684
28000,인천,201305,5224
28000,인천,201306,6647
28000,인천,201307,2462
28000,인천,201308,2496
28000,인천,201309,3087
28000,인천,201310,5090
28000,인천,201311,5147
28000,인천,201312,4881
28000,인천,201401,3201
28000,인천,201402,4992
28000,인천,201403,5130
28000,인천,201404,5571
28000,인천,201405,4721
28000,인천,201406,4095
28000,인천,201407,4022
28000,인천,201408,4567
28000,인천,201409,5522
28000,인천,201410,7635
28000,인천,201411,6421
28000,인천,201412,4578
28000,인천,201501,3644
28000,인천,201502,4108
28000,인천,201503,6447
28000,인천,201504,6576
28000,인천,201505,6377
28000,인천,201506,6235
28000,인천,201507,7116
28000,인천,201508,6517
28000,인천,201509,6031
28000,인천,201510,6822
28000,인천,201511,5881
28000,인천,201512,5181
28000,인천,201601,3570
28000,인천,201602,2828
28000,인천,201603,3686
28000,인천,201604,4668
28000,인천,201605,5630
28000,인천,201606,5864
28000,인천,201607,7502
28000,인천,201608,7764
28000,인천,201609,6288
28000,인천,201610,7163
28000,인천,201611,6972
28000,인천,201612,3987
28000,인천,201701,3294
28000,인천,201702,3575
28000,인천,201703,5845
28000,인천,201704,5337
28000,인천,201705,6384
28000,인천,201706,6188
28000,인천,201707,6760
28000,인천,201708,10341
28000,인천,201709,8883
28000,인천,201710,7466
28000,인천,201711,7367
28000,인천,201712,6638
28000,인천,201801,8627
28000,인천,201802,6760
28000,인천,201803,5879
28000,인천,201804,7474
28000,인천,201805,9482
28000,인천,201806,6420
28000,인천,201807,3974
28000,인천,201808,4660
28000,인천,201809,5246
28000,인천,201810,6748
28000,인천,201811,6467
28000,인천,201812,6984
28000,인천,201901,6769
28000,인천,201902,8308
28000,인천,201903,8734
29000,광주,200601,3782
29000,광주,200602,3928
29000,광주,200603,5297
29000,광주,200604,4446
29000,광주,200605,3000
29000,광주,200606,3925
29000,광주,200607,2629
29000,광주,200608,2176
29000,광주,200609,3438
29000,광주,200610,3225
29000,광주,200611,6483
29000,광주,200612,4192
29000,광주,200701,3055
29000,광주,200702,2493
29000,광주,200703,2998
29000,광주,200704,3244
29000,광주,200705,4146
29000,광주,200706,2544
29000,광주,200707,2799
29000,광주,200708,2550
29000,광주,200709,2194
29000,광주,200710,3204
29000,광주,200711,2586
29000,광주,200712,2989
29000,광주,200801,3671
29000,광주,200802,2749
29000,광주,200803,2863
29000,광주,200804,3285
29000,광주,200805,2976
29000,광주,200806,2472
29000,광주,200807,2802
29000,광주,200808,2512
29000,광주,200809,3144
29000,광주,200810,3252
29000,광주,200811,2556
29000,광주,200812,2174
29000,광주,200901,2575
29000,광주,200902,3381
29000,광주,200903,5181
29000,광주,200904,4214
29000,광주,200905,3179
29000,광주,200906,2849
29000,광주,200907,4622
29000,광주,200908,3965
29000,광주,200909,3250
29000,광주,200910,3653
29000,광주,200911,3303
29000,광주,200912,3717
29000,광주,201001,2480
29000,광주,201002,3325
29000,광주,201003,3653
29000,광주,201004,2907
29000,광주,201005,3009
29000,광주,201006,2505
29000,광주,201007,3075
29000,광주,201008,2850
29000,광주,201009,2410
29000,광주,201010,3052
29000,광주,201011,2979
29000,광주,201012,3548
29000,광주,201101,2455
29000,광주,201102,3020
29000,광주,201103,3821
29000,광주,201104,4309
29000,광주,201105,3157
29000,광주,201106,3181
29000,광주,201107,3576
29000,광주,201108,3794
29000,광주,201109,3111
29000,광주,201110,3446
29000,광주,201111,3256
29000,광주,201112,5810
29000,광주,201201,1675
29000,광주,201202,2311
29000,광주,201203,2507
29000,광주,201204,2420
29000,광주,201205,2574
29000,광주,201206,1956
29000,광주,201207,2203
29000,광주,201208,3103
29000,광주,201209,3228
29000,광주,201210,3469
29000,광주,201211,3024
29000,광주,201212,5013
29000,광주,201301,1367
29000,광주,201302,2712
29000,광주,201303,3082
29000,광주,201304,3791
29000,광주,201305,3534
29000,광주,201306,6465
29000,광주,201307,2536
29000,광주,201308,2915
29000,광주,201309,3202
29000,광주,201310,3873
29000,광주,201311,3915
29000,광주,201312,4647
29000,광주,201401,3608
